codigo_ibge,nome,latitude,longitude
3528601,Manduri,-23.0056,-49.3202
3528700,Marabá Paulista,-22.1068,-51.9617
3528809,Maracaí,-22.6149,-50.6713
3528858,Marapoama,-21.2587,-49.13
3529104,Marinópolis,-20.4389,-50.8254
3528908,Mariápolis,-21.7959,-51.1824
3529203,Martinópolis,-22.1462,-51.1709
3529005,Marília,-22.2171,-49.9501
3529302,Matão,-21.6025,-48.364
3529401,Mauá,-23.6677,-46.4613
3529500,Mendonça,-21.1757,-49.5791
3529609,Meridiano,-20.3579,-50.1811
3529658,Mesópolis,-19.9684,-50.6326
3529708,Miguelópolis,-20.1796,-48.031
3529807,Mineiros do Tietê,-22.412,-48.451
3530003,Mira Estrela,-19.9789,-50.139
3529906,Miracatu,-24.2766,-47.4625
3530102,Mirandópolis,-21.1313,-51.1035
3530201,Mirante do Paranapanema,-22.2904,-51.9084
3530300,Mirassol,-20.8169,-49.5206
3530409,Mirassolândia,-20.6179,-49.4617
3530508,Mococa,-21.4647,-47.0024
3530706,Mogi Guaçu,-22.3675,-46.9428
3530805,Mogi Mirim,-22.4332,-46.9532
3530607,Mogi das Cruzes,-23.5208,-46.1854
3530904,Mombuca,-22.9285,-47.559
3531100,Mongaguá,-24.0809,-46.6265
3531209,Monte Alegre do Sul,-22.6817,-46.681
3531308,Monte Alto,-21.2655,-48.4971
3531407,Monte Aprazível,-20.768,-49.7184
3531506,Monte Azul Paulista,-20.9065,-48.6387
3531605,Monte Castelo,-21.2981,-51.5679
3531803,Monte Mor,-22.945,-47.3122
3531704,Monteiro Lobato,-22.9544,-45.8407
3531001,Monções,-20.8509,-50.0975
3531902,Morro Agudo,-20.7288,-48.0581
3532009,Morungaba,-22.8811,-46.7896
3532058,Motuca,-21.5103,-48.1538
3532108,Murutinga do Sul,-20.9908,-51.2774
3532157,Nantes,-22.6156,-51.24
3532207,Narandiba,-22.4057,-51.5274
3532306,Natividade da Serra,-23.3707,-45.4468
3532405,Nazaré Paulista,-23.1747,-46.3983
3532504,Neves Paulista,-20.843,-49.6358
3532603,Nhandeara,-20.6945,-50.0436
3532702,Nipoã,-20.9114,-49.7833
3532801,Nova Aliança,-21.0156,-49.4986
3532827,Nova Campina,-24.1224,-48.9022
3532843,Nova Canaã Paulista,-20.3836,-50.9483
3532868,Nova Castilho,-20.7615,-50.3477
3532900,Nova Europa,-21.7765,-48.5705
3533007,Nova Granada,-20.5321,-49.3123
3533106,Nova Guataporanga,-21.332,-51.6447
3533205,Nova Independência,-21.1026,-51.4905
3533304,Nova Luzitânia,-20.856,-50.2617
3533403,Nova Odessa,-22.7832,-47.2941
3533254,Novais,-20.9893,-48.9141
3533502,Novo Horizonte,-21.4651,-49.2234
3533601,Nuporanga,-20.7296,-47.7429
3533700,Ocauçu,-22.438,-49.922
3533908,Olímpia,-20.7366,-48.9106
3534005,Onda Verde,-20.6042,-49.2929
3534104,Oriente,-22.1549,-50.0971
3534203,Orindiúva,-20.1861,-49.3464
3534302,Orlândia,-20.7169,-47.8852
3534401,Osasco,-23.5324,-46.7916
3534500,Oscar Bressane,-22.3149,-50.2811
3534609,Osvaldo Cruz,-21.7968,-50.8793
3534708,Ourinhos,-22.9797,-49.8697
3534807,Ouro Verde,-21.4872,-51.7024
3534757,Ouroeste,-20.0061,-50.3768
3534906,Pacaembu,-21.5627,-51.2654
3535002,Palestina,-20.39,-49.4309
3535101,Palmares Paulista,-21.0854,-48.8037
3535200,Palmeira d'Oeste,-20.4148,-50.7632
3535309,Palmital,-22.7858,-50.218
3535408,Panorama,-21.354,-51.8562
3535507,Paraguaçu Paulista,-22.4114,-50.5732
3535606,Paraibuna,-23.3872,-45.6639
3535804,Paranapanema,-23.3862,-48.7214
3535903,Paranapuã,-20.1048,-50.5886
3536000,Parapuã,-21.7792,-50.7949
3535705,Paraíso,-21.0159,-48.7761
3536109,Pardinho,-23.0841,-48.3679
3536208,Pariquera-Açu,-24.7147,-47.8742
3536257,Parisi,-20.3034,-50.0163
3536307,Patrocínio Paulista,-20.6384,-47.2801
3536406,Paulicéia,-21.3153,-51.8321
3536570,Paulistânia,-22.5768,-49.4008
3536604,Paulo de Faria,-20.0296,-49.4
3536505,Paulínia,-22.7542,-47.1488
3536703,Pederneiras,-22.3511,-48.7781
3536802,Pedra Bela,-22.7902,-46.4455
3536901,Pedranópolis,-20.2474,-50.1129
3537008,Pedregulho,-20.2535,-47.4775
3537107,Pedreira,-22.7413,-46.8948
3537156,Pedrinhas Paulista,-22.8174,-50.7933
3537206,Pedro de Toledo,-24.2764,-47.2354
3537305,Penápolis,-21.4148,-50.0769
3537404,Pereira Barreto,-20.6368,-51.1123
3537503,Pereiras,-23.0804,-47.972
3537602,Peruíbe,-24.312,-47.0012
3537701,Piacatu,-21.5921,-50.6003
3537800,Piedade,-23.7139,-47.4256
3537909,Pilar do Sul,-23.8077,-47.7222
3538006,Pindamonhangaba,-22.9246,-45.4613
3538105,Pindorama,-21.1853,-48.9086
3538204,Pinhalzinho,-22.7811,-46.5897
3538303,Piquerobi,-21.8747,-51.7282
3538501,Piquete,-22.6069,-45.1869
3538600,Piracaia,-23.0525,-46.3594
3538709,Piracicaba,-22.7338,-47.6476
3538808,Piraju,-23.1981,-49.3803
3538907,Pirajuí,-21.999,-49.4608
3539004,Pirangi,-21.0886,-48.6607
3539103,Pirapora do Bom Jesus,-23.3965,-46.9991
3539202,Pirapozinho,-22.2711,-51.4976
3539301,Pirassununga,-21.996,-47.4257
